Author-year,AgS,ReT,SA (m2/g),Metal,AIC (mg/L),Temp,pH,rpm,Adc,Qm (µg/g),Aged condition,Solution- added agent,Note,Unnamed: 14
"(Gao et al., 2021)",Virgin,PS,,Cu (II),1.005,25.0,7.0,160.0,Single-ion,777.18,,,,
"(Gao et al., 2021)",Aged,PS,,Cu (II),1.005,25.0,7.0,160.0,Single-ion,1566.94,Lab: UV seawater,,,
"(Gao et al., 2021)",Virgin,PVC,,Cu (II),1.005,25.0,7.0,160.0,Single-ion,715.99,,,,
"(Gao et al., 2021)",Aged,PVC,,Cu (II),1.005,25.0,7.0,160.0,Single-ion,1282.35,Lab: UV seawater,,,
"(Gao et al., 2021)",Virgin,PS,,Cd (II),1.005,25.0,7.0,160.0,Single-ion,1369.33,,,,
"(Gao et al., 2021)",Aged,PS,,Cd (II),1.005,25.0,7.0,160.0,Single-ion,3903.1,Lab: UV seawater,,,
"(Gao et al., 2021)",Virgin,PVC,,Cd (II),1.005,25.0,7.0,160.0,Single-ion,1371.13,,,,
"(Gao et al., 2021)",Aged,PVC,,Cd (II),1.005,25.0,7.0,160.0,Single-ion,2366.53,Lab: UV seawater,,,
"(Li et al., 2021)",Virgin,PA,10.059,Cd (II),20.5,25.0,7.0,30.0,Single-ion,339.6,,,,
"(Li et al., 2021)",Aged,PA,30.597,Cd (II),20.5,25.0,7.0,30.0,Single-ion,2130.0,Lab: Wastewater pipeline,,,
"(Li et al., 2021)",Aged,PE,53.972,Cd (II),20.5,25.0,7.0,30.0,Single-ion,126.5,Lab: Grit tank,,,
"(Li et al., 2021)",Aged,PE,36.953,Cd (II),20.5,25.0,7.0,30.0,Single-ion,614.48,Lab: Aeration tank,,,
"(Li et al., 2021)",Aged,PS,99.568,Cd (II),20.5,25.0,7.0,30.0,Single-ion,57.48,Lab: Aeration tank,,,
"(Lin et al., 2021)",Virgin,PVC,1.73,Pb (II),,15.0,6.0,150.0,Single-ion,650.7,,,,
"(Lin et al., 2021)",Virgin,PVC,1.73,Pb (II),,15.0,6.0,150.0,Single-ion,794.8,,,,
"(Lin et al., 2021)",Virgin,PVC,1.73,Pb (II),,15.0,6.0,150.0,Single-ion,943.2,,,,
"(Qi et al., 2021)",Virgin,PS,,Pb (II),0.505,25.0,6.0,,Single-ion,613.1,,,,
"(Qi et al., 2021)",Aged,PS,,Pb (II),0.505,25.0,6.0,,Single-ion,1239.72,Nature: Lake,,PS+biofilm+Nanhu,
"(Qi et al., 2021)",Aged,PS,,Pb (II),0.505,25.0,6.0,,Single-ion,1101.41,Nature: Lake,,PS+biofilm+Shitoukoumen,
"(Wang et al., 2021)",Virgin,PE,0.23,Cu (II),3.5,25.0,,,Single-ion,31.2,,,,
