Row_ID,Source_ID,DOI,Publication_year,First_author,Reference_title,Journal,All_authors,RIS_index,AgS,ReT,SA,Metal,AIC,Temp,pH,rpm,Adc,Qm,Aged condition,Solution- added agent,Study_ID,Study_ID_numeric,extreme_qm_flag,log_Qm,Temp_missing,pH_missing,rpm_missing,imputed_AIC,imputed_Temp,imputed_rpm,quality_score,quality_flags,quality_category
QMR011,QMS045,10.1007/s11356-019-05643-8,2019,"Yang, J.",Effects of soil environmental factors and UV aging on Cu2+ adsorption on microplastics,Environmental Science and Pollution Research,"Yang, J.; Cang, L.; Sun, Q.; Dong, G.; Ata-Ul-Karim, S. T.; Zhou, D.",9,Virgin,PMMA,0.11,Cu (II),5.025,25.0,6.0,200.0,Single-ion,41.0,,,QMS045,45,False,3.713572066704308,0,0,0,0,0,0,100,none,high
QMR012,QMS045,10.1007/s11356-019-05643-8,2019,"Yang, J.",Effects of soil environmental factors and UV aging on Cu2+ adsorption on microplastics,Environmental Science and Pollution Research,"Yang, J.; Cang, L.; Sun, Q.; Dong, G.; Ata-Ul-Karim, S. T.; Zhou, D.",9,Aged,PMMA,,Cu (II),5.025,25.0,6.0,200.0,Single-ion,79.4,Lab: UV,,QMS045,45,False,4.37449836825309,0,0,0,0,0,0,100,none,high
QMR013,QMS003,10.1039/d0em00324g,2020,"Dong, Y.",Adsorption of arsenite to polystyrene microplastics in the presence of humus,Environmental Science: Processes and Impacts,"Dong, Y.; Gao, M.; Qiu, W.; Song, Z.",56,Virgin,PS,8.28,As (III),30.0,25.0,7.0,200.0,Single-ion,2840.0,,,QMS003,3,False,7.951559331155252,0,0,0,0,0,0,100,none,high
QMR014,QMS003,10.1039/d0em00324g,2020,"Dong, Y.",Adsorption of arsenite to polystyrene microplastics in the presence of humus,Environmental Science: Processes and Impacts,"Dong, Y.; Gao, M.; Qiu, W.; Song, Z.",56,Virgin,PS,7.92,As (III),30.0,25.0,7.0,200.0,Mixed,11830.0,,HA,QMS003,3,True,9.378393956972433,0,0,0,0,0,0,80,extreme_qm,medium
QMR015,QMS003,10.1039/d0em00324g,2020,"Dong, Y.",Adsorption of arsenite to polystyrene microplastics in the presence of humus,Environmental Science: Processes and Impacts,"Dong, Y.; Gao, M.; Qiu, W.; Song, Z.",56,Virgin,PS,7.41,As (III),30.0,25.0,7.0,200.0,Mixed,11350.0,,HA,QMS003,3,True,9.336973022909548,0,0,0,0,0,0,80,extreme_qm,medium
QMR016,QMS003,10.1039/d0em00324g,2020,"Dong, Y.",Adsorption of arsenite to polystyrene microplastics in the presence of humus,Environmental Science: Processes and Impacts,"Dong, Y.; Gao, M.; Qiu, W.; Song, Z.",56,Virgin,PS,6.58,As (III),30.0,25.0,7.0,200.0,Mixed,9420.0,,HA,QMS003,3,True,9.150590367570409,0,0,0,0,0,0,80,extreme_qm,medium
QMR017,QMS003,10.1039/d0em00324g,2020,"Dong, Y.",Adsorption of arsenite to polystyrene microplastics in the presence of humus,Environmental Science: Processes and Impacts,"Dong, Y.; Gao, M.; Qiu, W.; Song, Z.",56,Virgin,PS,8.11,As (III),30.0,25.0,7.0,200.0,Mixed,11030.0,,FA,QMS003,3,True,9.308374112247549,0,0,0,0,0,0,80,extreme_qm,medium
QMR018,QMS003,10.1039/d0em00324g,2020,"Dong, Y.",Adsorption of arsenite to polystyrene microplastics in the presence of humus,Environmental Science: Processes and Impacts,"Dong, Y.; Gao, M.; Qiu, W.; Song, Z.",56,Virgin,PS,7.58,As (III),30.0,25.0,7.0,200.0,Mixed,10380.0,,FA,QMS003,3,True,9.24763615671988,0,0,0,0,0,0,80,extreme_qm,medium
QMR019,QMS003,10.1039/d0em00324g,2020,"Dong, Y.",Adsorption of arsenite to polystyrene microplastics in the presence of humus,Environmental Science: Processes and Impacts,"Dong, Y.; Gao, M.; Qiu, W.; Song, Z.",56,Virgin,PS,6.82,As (III),30.0,25.0,7.0,200.0,Mixed,8410.0,,FA,QMS003,3,True,9.037176752966994,0,0,0,0,0,0,80,extreme_qm,medium
QMR020,QMS006,10.1016/j.ecoenv.2019.110118,2020,"Guo, X.",Sorption properties of cadmium on microplastics: The common practice experiment and A two-dimensional correlation spectroscopic study,Ecotoxicology and Environmental Safety,"Guo, X.; Hu, G.; Fan, X.; Jia, H.",52,Virgin,PE,0.173,Cd (II),10.1,25.0,7.0,150.0,Single-ion,36.63,,,QMS006,6,False,3.6008675767907232,0,0,0,1,0,0,97,imputed_AIC,high
QMR021,QMS006,10.1016/j.ecoenv.2019.110118,2020,"Guo, X.",Sorption properties of cadmium on microplastics: The common practice experiment and A two-dimensional correlation spectroscopic study,Ecotoxicology and Environmental Safety,"Guo, X.; Hu, G.; Fan, X.; Jia, H.",52,Virgin,PP,0.348,Cd (II),10.1,25.0,7.0,150.0,Single-ion,36.1,,,QMS006,6,False,3.586292865338835,0,0,0,1,0,0,97,imputed_AIC,high
QMR022,QMS006,10.1016/j.ecoenv.2019.110118,2020,"Guo, X.",Sorption properties of cadmium on microplastics: The common practice experiment and A two-dimensional correlation spectroscopic study,Ecotoxicology and Environmental Safety,"Guo, X.; Hu, G.; Fan, X.; Jia, H.",52,Virgin,PS,0.508,Cd (II),10.1,25.0,7.0,150.0,Single-ion,40.49,,,QMS006,6,False,3.7010550300440697,0,0,0,1,0,0,97,imputed_AIC,high
QMR023,QMS006,10.1016/j.ecoenv.2019.110118,2020,"Guo, X.",Sorption properties of cadmium on microplastics: The common practice experiment and A two-dimensional correlation spectroscopic study,Ecotoxicology and Environmental Safety,"Guo, X.; Hu, G.; Fan, X.; Jia, H.",52,Virgin,PVC,0.836,Cd (II),10.1,25.0,7.0,150.0,Single-ion,53.48,,,QMS006,6,False,3.9793077522337423,0,0,0,1,0,0,97,imputed_AIC,high
QMR024,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Virgin,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,160.0,,,QMS025,25,False,5.075173815233827,0,0,0,0,0,0,100,none,high
QMR025,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,183.0,Lab: 1 month UV,,QMS025,25,False,5.209486152841421,0,0,0,0,0,0,100,none,high
QMR026,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,203.0,Lab: 2 month UV,,QMS025,25,False,5.313205979041787,0,0,0,0,0,0,100,none,high
QMR027,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,202.0,Lab: 3 month UV,,QMS025,25,False,5.308267697401205,0,0,0,0,0,0,100,none,high
QMR028,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Virgin,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,210.0,,,QMS025,25,False,5.3471075307174685,0,0,0,0,0,0,100,none,high
QMR029,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,171.0,Lab: 1 month UV,,QMS025,25,False,5.14166355650266,0,0,0,0,0,0,100,none,high
QMR030,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,162.0,Lab: 2 month UV,,QMS025,25,False,5.087596335232384,0,0,0,0,0,0,100,none,high
QMR031,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,173.0,Lab: 3 month UV,,QMS025,25,False,5.153291594497779,0,0,0,0,0,0,100,none,high
QMR032,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Virgin,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,105.0,,,QMS025,25,False,4.653960350157523,0,0,0,0,0,0,100,none,high
QMR033,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,133.0,Lab: 1 month UV,,QMS025,25,False,4.890349128221754,0,0,0,0,0,0,100,none,high
QMR034,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,157.0,Lab: 2 month UV,,QMS025,25,False,5.056245805348308,0,0,0,0,0,0,100,none,high
QMR035,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,175.0,Lab: 3 month UV,,QMS025,25,False,5.1647859739235145,0,0,0,0,0,0,100,none,high
QMR036,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Virgin,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,125.0,,,QMS025,25,False,4.8283137373023015,0,0,0,0,0,0,100,none,high
QMR037,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,140.0,Lab: 1 month UV,,QMS025,25,False,4.941642422609304,0,0,0,0,0,0,100,none,high
QMR038,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,143.0,Lab: 2 month UV,,QMS025,25,False,4.962844630259907,0,0,0,0,0,0,100,none,high
QMR039,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,196.0,Lab: 3 month UV,,QMS025,25,False,5.278114659230517,0,0,0,0,0,0,100,none,high
QMR040,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Virgin,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,78.1,,,QMS025,25,False,4.35799005684564,0,0,0,0,0,0,100,none,high
QMR041,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,128.0,Lab: 1 month UV,,QMS025,25,False,4.852030263919617,0,0,0,0,0,0,100,none,high
QMR042,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,158.0,Lab: 2 month UV,,QMS025,25,False,5.062595033026967,0,0,0,0,0,0,100,none,high
QMR043,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,183.0,Lab: 3 month UV,,QMS025,25,False,5.209486152841421,0,0,0,0,0,0,100,none,high
QMR044,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,199.0,Lab: 3 month-pure water,,QMS025,25,False,5.293304824724492,0,0,0,0,0,0,100,none,high
QMR045,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,199.0,Lab: 3 month-sea water,,QMS025,25,False,5.293304824724492,0,0,0,0,0,0,100,none,high
QMR046,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Pb (II),1.05,25.0,7.0,150.0,Single-ion,202.0,Lab: 3 month-air,,QMS025,25,False,5.308267697401205,0,0,0,0,0,0,100,none,high
QMR047,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,176.0,Lab: 3 month-pure water,,QMS025,25,False,5.170483995038151,0,0,0,0,0,0,100,none,high
QMR048,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,170.0,Lab: 3 month-sea water,,QMS025,25,False,5.135798437050262,0,0,0,0,0,0,100,none,high
QMR049,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Cu (II),1.05,25.0,7.0,150.0,Single-ion,173.0,Lab: 3 month-air,,QMS025,25,False,5.153291594497779,0,0,0,0,0,0,100,none,high
QMR050,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,168.0,Lab: 3 month-pure water,,QMS025,25,False,5.123963979403259,0,0,0,0,0,0,100,none,high
QMR051,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,161.0,Lab: 3 month-sea water,,QMS025,25,False,5.081404364984463,0,0,0,0,0,0,100,none,high
QMR052,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Cd (II),1.05,25.0,7.0,150.0,Single-ion,175.0,Lab: 3 month-air,,QMS025,25,False,5.1647859739235145,0,0,0,0,0,0,100,none,high
QMR053,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,259.0,Lab: 3 month-pure water,,QMS025,25,False,5.556828061699537,0,0,0,0,0,0,100,none,high
QMR054,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,211.0,Lab: 3 month-sea water,,QMS025,25,False,5.351858133476067,0,0,0,0,0,0,100,none,high
QMR055,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Ni (II),1.05,25.0,7.0,150.0,Single-ion,196.0,Lab: 3 month-air,,QMS025,25,False,5.278114659230517,0,0,0,0,0,0,100,none,high
QMR056,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,312.0,Lab: 3 month-pure water,,QMS025,25,False,5.7430031878094825,0,0,0,0,0,0,100,none,high
QMR057,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,236.0,Lab: 3 month-sea water,,QMS025,25,False,5.4638318050256105,0,0,0,0,0,0,100,none,high
QMR058,QMS025,10.1016/j.jhazmat.2020.122515,2020,"Mao, R.",Aging mechanism of microplastics with UV irradiation and its effects on the adsorption of heavy metals,Journal of Hazardous Materials,"Mao, R.; Lang, M.; Yu, X.; Wu, R.; Yang, X.; Guo, X.",30,Aged,PS,,Zn (II),1.05,25.0,7.0,150.0,Single-ion,183.0,Lab: 3 month-air,,QMS025,25,False,5.209486152841421,0,0,0,0,0,0,100,none,high
QMR059,QMS036,10.1016/j.jhazmat.2019.121960,2020,"Tang, S.",Pb(II) uptake onto nylon microplastics: Interaction mechanism and adsorption performance,Journal of Hazardous Materials,"Tang, S.; Lin, L.; Wang, X.; Feng, A.; Yu, A.",19,Aged,nylon,0.045,Pb (II),7.0,15.0,5.0,185.0,Single-ion,463.7,Nature: coastal aquaculture,,QMS036,36,False,6.139237791397415,0,0,0,0,0,0,100,none,high
QMR060,QMS036,10.1016/j.jhazmat.2019.121960,2020,"Tang, S.",Pb(II) uptake onto nylon microplastics: Interaction mechanism and adsorption performance,Journal of Hazardous Materials,"Tang, S.; Lin, L.; Wang, X.; Feng, A.; Yu, A.",19,Aged,nylon,0.045,Pb (II),7.0,27.0,5.0,185.0,Single-ion,1031.5,Nature: coastal aquaculture,,QMS036,36,False,6.938769332511306,0,0,0,0,0,0,100,none,high
QMR061,QMS038,10.1016/j.jes.2019.07.006,2020,"Wang, Q.",The adsorption behavior of metals in aqueous solution by microplastics effected by UV radiation,Journal of Environmental Sciences (China),"Wang, Q.; Zhang, Y.; Wangjin, X.; Wang, Y.; Meng, G.; Chen, Y.",13,Aged,PET,,Cu (II),6.0,15.0,7.0,150.0,Single-ion,335.48,Lab: UV,,QMS038,38,False,5.815562342116211,0,0,0,0,0,0,100,none,high
QMR062,QMS038,10.1016/j.jes.2019.07.006,2020,"Wang, Q.",The adsorption behavior of metals in aqueous solution by microplastics effected by UV radiation,Journal of Environmental Sciences (China),"Wang, Q.; Zhang, Y.; Wangjin, X.; Wang, Y.; Meng, G.; Chen, Y.",13,Aged,PET,,Zn (II),6.0,25.0,7.0,150.0,Single-ion,211.03,Lab: UV,,QMS038,38,False,5.352000303464221,0,0,0,0,0,0,100,none,high
