metal,scenario,release_assumption,release_fraction,qm_mean_mg_g,emvp_mean_ug_L,emvp_ci_95_lower,emvp_ci_95_upper,background_ug_L,ratio_mean,ratio_ci95_lower,ratio_ci95_upper,base_interpretation,interpretation_note
Cr,moderate,low_release_1pct,0.01,1.3354028571428571,0.000133662408258048,3.8220508539694e-05,0.00033877455647879704,5.0,2.6732481651609002e-05,7.644101707938e-06,6.7754911295759e-05,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Cr,moderate,medium_release_10pct,0.1,1.3354028571428571,0.00133662408258048,0.00038220508539694,0.0033877455647879705,5.0,0.00026732481651609003,7.644101707938e-05,0.0006775491129575901,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Cr,moderate,high_release_25pct,0.25,1.3354028571428571,0.0033415602064512,0.00095551271349235,0.008469363911969926,5.0,0.000668312041290225,0.00019110254269845,0.001693872782393975,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Cr,moderate,upper_bound_full_release,1.0,1.3354028571428571,0.0133662408258048,0.0038220508539694,0.0338774556478797,5.0,0.0026732481651609,0.0007644101707938,0.0067754911295759,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
Cr,high,low_release_1pct,0.01,1.3354028571428571,0.0013536080688073,0.0003919062624026,0.003510461704217884,5.0,0.000270721613761459,7.838125248052e-05,0.000702092340843576,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Cr,high,medium_release_10pct,0.1,1.3354028571428571,0.013536080688073,0.003919062624026,0.03510461704217884,5.0,0.00270721613761459,0.0007838125248052001,0.00702092340843576,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Cr,high,high_release_25pct,0.25,1.3354028571428571,0.0338402017201825,0.009797656560065,0.0877615426054471,5.0,0.006768040344036475,0.001959531312013,0.0175523085210894,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Cr,high,upper_bound_full_release,1.0,1.3354028571428571,0.13536080688073,0.03919062624026,0.3510461704217884,5.0,0.0270721613761459,0.007838125248052,0.0702092340843576,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
Cr,extreme,low_release_1pct,0.01,1.3354028571428571,0.013263890095334793,0.003873618354953754,0.033566518229927345,5.0,0.0026527780190669582,0.000774723670990751,0.0067133036459854694,potentially_relevant,Scenario-based screening assumption: 1% release of sorbed metal.
Cr,extreme,medium_release_10pct,0.1,1.3354028571428571,0.13263890095334793,0.03873618354953754,0.33566518229927345,5.0,0.02652778019066958,0.00774723670990751,0.06713303645985469,potentially_relevant,Scenario-based screening assumption: 10% release of sorbed metal.
Cr,extreme,high_release_25pct,0.25,1.3354028571428571,0.3315972523833698,0.09684045887384385,0.8391629557481836,5.0,0.06631945047667395,0.019368091774768774,0.16783259114963672,potentially_relevant,Scenario-based screening assumption: 25% release of sorbed metal.
Cr,extreme,upper_bound_full_release,1.0,1.3354028571428571,1.3263890095334792,0.3873618354953754,3.3566518229927342,5.0,0.2652778019066958,0.0774723670990751,0.6713303645985469,potentially_relevant,Upper-bound screening assumption: 100% release of sorbed metal.
Cu,pristine,low_release_1pct,0.01,1.185017079411765,1.176957752353e-06,3.4034389090183907e-07,2.940657307757e-06,10.0,1.1769577523532087e-07,3.403438909018391e-08,2.9406573077579907e-07,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Cu,pristine,medium_release_10pct,0.1,1.185017079411765,1.1769577523530001e-05,3.4034389090183907e-06,2.940657307757e-05,10.0,1.1769577523532087e-06,3.4034389090183907e-07,2.940657307757991e-06,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Cu,pristine,high_release_25pct,0.25,1.185017079411765,2.9423943808825e-05,8.508597272545977e-06,7.3516432693925e-05,10.0,2.9423943808830216e-06,8.508597272545977e-07,7.351643269394977e-06,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Cu,pristine,upper_bound_full_release,1.0,1.185017079411765,0.0001176957752353,3.403438909018391e-05,0.0002940657307757,10.0,1.1769577523532086e-05,3.4034389090183907e-06,2.9406573077579907e-05,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
Cu,low,low_release_1pct,0.01,1.185017079411765,1.1928740064883999e-05,3.3927867145550004e-06,3.0043530835342e-05,10.0,1.192874006488e-06,3.3927867145554957e-07,3.004353083534e-06,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Cu,low,medium_release_10pct,0.1,1.185017079411765,0.00011928740064883999,3.392786714555e-05,0.00030043530835342,10.0,1.192874006488e-05,3.392786714555496e-06,3.004353083534e-05,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Cu,low,high_release_25pct,0.25,1.185017079411765,0.0002982185016221,8.4819667863875e-05,0.00075108827088355,10.0,2.98218501622e-05,8.481966786388739e-06,7.510882708835e-05,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Cu,low,upper_bound_full_release,1.0,1.185017079411765,0.0011928740064884,0.0003392786714555,0.0030043530835342,10.0,0.0001192874006488,3.3927867145554955e-05,0.0003004353083534,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
Cu,moderate,low_release_1pct,0.01,1.185017079411765,0.000118129451967005,3.3707850745640006e-05,0.000301110509048768,10.0,1.18129451967e-05,3.370785074564e-06,3.0111050904876e-05,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Cu,moderate,medium_release_10pct,0.1,1.185017079411765,0.00118129451967005,0.0003370785074564,0.00301110509048768,10.0,0.000118129451967,3.3707850745640006e-05,0.00030111050904876,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Cu,moderate,high_release_25pct,0.25,1.185017079411765,0.002953236299175125,0.000842696268641,0.0075277627262192,10.0,0.0002953236299175,8.42696268641e-05,0.0007527762726219,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Cu,moderate,upper_bound_full_release,1.0,1.185017079411765,0.0118129451967005,0.003370785074564,0.0301110509048768,10.0,0.00118129451967,0.0003370785074564,0.0030111050904876,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
Cu,high,low_release_1pct,0.01,1.185017079411765,0.001185743544399073,0.00034151799984687397,0.003017361029682527,10.0,0.000118574354439907,3.4151799984687e-05,0.000301736102968252,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Cu,high,medium_release_10pct,0.1,1.185017079411765,0.01185743544399073,0.00341517999846874,0.030173610296825273,10.0,0.00118574354439907,0.00034151799984687,0.00301736102968252,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Cu,high,high_release_25pct,0.25,1.185017079411765,0.029643588609976824,0.00853794999617185,0.07543402574206318,10.0,0.002964358860997675,0.000853794999617175,0.0075434025742063,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Cu,high,upper_bound_full_release,1.0,1.185017079411765,0.1185743544399073,0.0341517999846874,0.3017361029682527,10.0,0.0118574354439907,0.0034151799984687,0.0301736102968252,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
Cu,extreme,low_release_1pct,0.01,1.185017079411765,0.011880555551732647,0.003466059806294341,0.03007653951639767,10.0,0.001188055555173264,0.00034660598062943404,0.0030076539516397673,potentially_relevant,Scenario-based screening assumption: 1% release of sorbed metal.
Cu,extreme,medium_release_10pct,0.1,1.185017079411765,0.11880555551732647,0.03466059806294341,0.3007653951639767,10.0,0.01188055555173264,0.0034660598062943404,0.030076539516397674,potentially_relevant,Scenario-based screening assumption: 10% release of sorbed metal.
Cu,extreme,high_release_25pct,0.25,1.185017079411765,0.29701388879331614,0.08665149515735852,0.7519134879099417,10.0,0.0297013888793316,0.00866514951573585,0.07519134879099418,potentially_relevant,Scenario-based screening assumption: 25% release of sorbed metal.
Cu,extreme,upper_bound_full_release,1.0,1.185017079411765,1.1880555551732646,0.3466059806294341,3.007653951639767,10.0,0.1188055555173264,0.0346605980629434,0.3007653951639767,potentially_relevant,Upper-bound screening assumption: 100% release of sorbed metal.
Hg,pristine,low_release_1pct,0.01,0.031561304347826,3.123476239319612e-08,8.96510706115394e-09,7.884319698162572e-08,0.1,3.123476239319612e-07,8.965107061153938e-08,7.884319698162571e-07,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Hg,pristine,medium_release_10pct,0.1,0.031561304347826,3.123476239319612e-07,8.96510706115394e-08,7.884319698162572e-07,0.1,3.1234762393196123e-06,8.965107061153938e-07,7.884319698162572e-06,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Hg,pristine,high_release_25pct,0.25,0.031561304347826,7.80869059829903e-07,2.2412767652884848e-07,1.971079924540643e-06,0.1,7.80869059829903e-06,2.2412767652884845e-06,1.971079924540643e-05,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Hg,pristine,upper_bound_full_release,1.0,0.031561304347826,3.123476239319612e-06,8.965107061153939e-07,7.884319698162572e-06,0.1,3.123476239319612e-05,8.965107061153938e-06,7.884319698162572e-05,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
Hg,low,low_release_1pct,0.01,0.031561304347826,3.1325162272089813e-07,8.960925784343036e-08,7.918686366994173e-07,0.1,3.132516227208e-06,8.960925784343035e-07,7.918686366994e-06,likely_minor,Scenario-based screening assumption: 1% release of sorbed metal.
Hg,low,medium_release_10pct,0.1,0.031561304347826,3.1325162272089814e-06,8.960925784343036e-07,7.918686366994173e-06,0.1,3.1325162272080006e-05,8.960925784343035e-06,7.918686366994e-05,likely_minor,Scenario-based screening assumption: 10% release of sorbed metal.
Hg,low,high_release_25pct,0.25,0.031561304347826,7.831290568022453e-06,2.240231446085759e-06,1.9796715917485432e-05,0.1,7.83129056802e-05,2.2402314460857588e-05,0.00019796715917485,likely_minor,Scenario-based screening assumption: 25% release of sorbed metal.
Hg,low,upper_bound_full_release,1.0,0.031561304347826,3.132516227208981e-05,8.960925784343035e-06,7.918686366994173e-05,0.1,0.0003132516227208,8.960925784343035e-05,0.0007918686366994,likely_minor,Upper-bound screening assumption: 100% release of sorbed metal.
