metal,scenario,c_mp_mg_L,qm_mean_mg_g,emvp_mean_ug_L,emvp_median_ug_L,emvp_ci_95_lower,emvp_ci_95_upper,background_ug_L,ratio_mean,ratio_median,ratio_ci95_lower,ratio_ci95_upper,interpretation
Cr,pristine,0.0001,1.3354028571428571,0.00013366287027935284,0.00011463089492735011,3.785891936701327e-05,0.0003402241983943251,5.0,2.673257405587057e-05,2.2926178985470024e-05,7.5717838734026535e-06,6.804483967886501e-05,likely_minor
Cr,low,0.001,1.3354028571428571,0.0013368301857971487,0.0011463590185268903,0.00039429833411435463,0.0034102425263123886,5.0,0.0002673660371594297,0.00022927180370537807,7.885966682287093e-05,0.0006820485052624777,likely_minor
Cr,moderate,0.01,1.3354028571428571,0.013366240825804857,0.011382189126700337,0.0038220508539694494,0.033877455647879716,5.0,0.0026732481651609713,0.002276437825340067,0.0007644101707938899,0.0067754911295759435,likely_minor
Cr,high,0.1,1.3354028571428571,0.13536080688073,0.11423300621667751,0.039190626240260075,0.35104617042178843,5.0,0.027072161376145997,0.022846601243335502,0.007838125248052014,0.07020923408435768,likely_minor
Cr,extreme,1.0,1.3354028571428571,1.3263890095334792,1.1332812606762692,0.38736183549537545,3.3566518229927342,5.0,0.2652778019066958,0.22665625213525384,0.0774723670990751,0.6713303645985469,potentially_relevant
Cu,pristine,0.0001,1.185017079411765,0.00011769577523532086,0.00010077577802185814,3.403438909018391e-05,0.00029406573077579907,10.0,1.1769577523532086e-05,1.0077577802185814e-05,3.4034389090183907e-06,2.9406573077579907e-05,likely_minor
Cu,low,0.001,1.185017079411765,0.0011928740064884146,0.0010251000508827823,0.00033927867145554957,0.003004353083534264,10.0,0.00011928740064884147,0.00010251000508827823,3.3927867145554955e-05,0.0003004353083534264,likely_minor
Cu,moderate,0.01,1.185017079411765,0.011812945196700515,0.010143013882347467,0.003370785074564035,0.030111050904876882,10.0,0.0011812945196700516,0.0010143013882347467,0.0003370785074564035,0.003011105090487688,likely_minor
Cu,high,0.1,1.185017079411765,0.11857435443990733,0.10139162636026637,0.034151799984687446,0.3017361029682527,10.0,0.011857435443990733,0.010139162636026638,0.0034151799984687447,0.03017361029682527,likely_minor
Cu,extreme,1.0,1.185017079411765,1.1880555551732646,1.0191026332566115,0.34660598062943415,3.007653951639767,10.0,0.11880555551732645,0.10191026332566115,0.034660598062943415,0.3007653951639767,potentially_relevant
Hg,pristine,0.0001,0.031561304347826086,3.123476239319612e-06,2.7137098876136643e-06,8.965107061153939e-07,7.884319698162572e-06,0.1,3.123476239319612e-05,2.7137098876136643e-05,8.965107061153938e-06,7.884319698162572e-05,likely_minor
